案類,發生日期,發生地點
住宅竊盜,1040227,台南市學甲區
住宅竊盜,1040227,桃園市龜山區
住宅竊盜,1040227,基隆市仁愛區
住宅竊盜,1040227,金門縣金寧鄉
住宅竊盜,1040227,台北市萬華區
住宅竊盜,1040228,彰化縣和美鎮
住宅竊盜,1040228,台北市萬華區
住宅竊盜,1040228,台北市內湖區
住宅竊盜,1040228,基隆市七堵區
住宅竊盜,1040228,台南市安平區
住宅竊盜,1040228,台中市大肚區
住宅竊盜,1040301,新北市中和區
住宅竊盜,1040301,宜蘭縣羅東鎮
住宅竊盜,1040301,南投縣草屯鎮
住宅竊盜,1040301,花蓮縣花蓮市
住宅竊盜,1040301,台南市安平區
住宅竊盜,1040301,新北市中和區
住宅竊盜,1040302,台南市南區
住宅竊盜,1040302,苗栗縣苗栗市
住宅竊盜,1040302,新北市中和區
住宅竊盜,1040302,台南市安平區
住宅竊盜,1040303,台中市龍井區
住宅竊盜,1040303,台南市東區
住宅竊盜,1040303,花蓮縣花蓮市
住宅竊盜,1040303,台南市新化區
住宅竊盜,1040304,彰化縣田中鎮
住宅竊盜,1040304,花蓮縣玉里鎮
住宅竊盜,1040304,台北市北投區
住宅竊盜,1040304,彰化縣二林鎮
住宅竊盜,1040304,台中市豐原區
住宅竊盜,1040304,台中市北屯區
住宅竊盜,1040304,雲林縣北港鎮
住宅竊盜,1040304,台北市內湖區
住宅竊盜,1040304,新北市板橋區
住宅竊盜,1040304,新北市平溪區
住宅竊盜,1040305,基隆市仁愛區
住宅竊盜,1040305,台北市北投區
住宅竊盜,1040305,台中市大雅區
住宅竊盜,1040305,新竹市北區
住宅竊盜,1040305,新北市板橋區
住宅竊盜,1040305,台南市下營區
住宅竊盜,1040305,台北市內湖區
住宅竊盜,1040305,台北市萬華區
住宅竊盜,1040306,屏東縣潮州鎮
住宅竊盜,1040306,台北市松山區
